0,0,1
4.3288,-2.5023,1
8.0616,-5.821,1
11.747,-9.1995,1
15.602,-12.371,1
20.192,-14.292,1
25.144,-14.874,1
30.063,-14.287,1
34.58,-12.227,1
36.578,-8.0935,1
36.573,-3.1171,1
35.718,1.7993,1
33.785,6.3891,1
30.671,10.281,1
26.671,13.272,1
22.166,15.391,1
17.235,16.194,1
12.261,16.589,1
7.4748,18.022,1
3.1106,20.462,1
-0.96608,23.357,1
-4.7214,26.657,1
-8.4764,29.956,1
-12.807,32.36,1
-17.749,33.098,1
-22.736,33.3,1
-27.571,32.337,1
-30.279,28.681,1
-31.744,23.901,1
-31.232,19.046,1
-29.313,14.443,1
-26.666,10.207,1
-22.912,6.9082,1
-18.736,4.2266,1
-13.88,3.0446,1
-8.951,2.2071,1
-4.7255,1.587,1
-1.4834,-2.6076,2
2.8275,-5.1212,2
6.5284,-8.4833,2
10.231,-11.843,2
14.121,-14.984,2
18.698,-16.995,2
23.618,-17.807,2
28.604,-17.647,2
33.345,-16.191,2
37.323,-13.295,2
39.429,-9.083,2
39.628,-4.1133,2
38.955,0.82663,2
37.452,5.5625,2
34.936,9.8452,2
31.488,13.437,2
27.374,16.258,2
22.834,18.317,2
17.907,19.155,2
12.932,19.508,2
8.1995,21.05,2
3.8929,23.58,2
-0.10217,26.577,2
-3.8551,29.881,2
-7.751,32.989,2
-12.155,35.291,2
-17.095,36.054,2
-22.084,36.341,2
-27.045,35.723,2
-31.247,33.077,2
-33.368,28.803,2
-34.578,23.953,2
-34.276,19.088,2
-32.566,14.414,2
-30.088,10.09,2
-26.831,6.3527,2
-22.882,3.305,2
-18.479,1.067,2
-13.608,-0.047717,2
-8.6758,-0.86307,2
-5.369,-1.3431,2
